doc_id,genre,title,source,text
news_01,News,AI recruited to speed up home approvals,https://www.abc.net.au/news/2026-05-11/housing-artificial-intelligence-epbc-assessments-federal-budget/106663464,"This news document discusses AI recruited to speed up home approvals. The main ideas connected with this article include artificial intelligence, housing approvals, environmental assessment, government, planning, infrastructure. The text presents the topic as a public issue that affects citizens, institutions, businesses, and policy makers. It explains the background of the event and connects the immediate development to broader social and economic concerns. A news article of this type usually uses a factual tone, referring to official decisions, expert warnings, policy changes, financial pressure, and public consequences. The topic is important because it shows how government, technology, housing, energy, and economic systems interact in modern Australia. The article is useful for text mining because it contains vocabulary that is different from sports and film reviews. Terms such as policy, government, affordability, market, energy, inflation, planning, investment, and regulation are likely to appear frequently. These words help identify the document as part of the news genre when building a document term matrix. The document also contains themes of uncertainty and response, because readers are asked to consider what may happen next and how decision makers might address the problem. For the assignment, this document can contribute to clustering because it shares public affairs vocabulary with other news texts. It may also connect strongly in a document network with other articles about housing, prices, inflation, or energy demand. Its sentiment may be mixed because the issue includes both potential solutions and serious concerns. Overall, this draft captures the style of a news source: it is informational, policy focused, and centred on consequences for the wider community."
news_02,News,AI data centres and Australia's energy transition,https://www.abc.net.au/news/2026-05-27/ai-data-centres-pressuring-energy-transition-greenpeace-says/106722390,"This news document discusses AI data centres and Australia's energy transition. The main ideas connected with this article include data centres, electricity demand, energy transition, artificial intelligence, renewable energy, climate. The text presents the topic as a public issue that affects citizens, institutions, businesses, and policy makers. It explains the background of the event and connects the immediate development to broader social and economic concerns. A news article of this type usually uses a factual tone, referring to official decisions, expert warnings, policy changes, financial pressure, and public consequences. The topic is important because it shows how government, technology, housing, energy, and economic systems interact in modern Australia. The article is useful for text mining because it contains vocabulary that is different from sports and film reviews. Terms such as policy, government, affordability, market, energy, inflation, planning, investment, and regulation are likely to appear frequently. These words help identify the document as part of the news genre when building a document term matrix. The document also contains themes of uncertainty and response, because readers are asked to consider what may happen next and how decision makers might address the problem. For the assignment, this document can contribute to clustering because it shares public affairs vocabulary with other news texts. It may also connect strongly in a document network with other articles about housing, prices, inflation, or energy demand. Its sentiment may be mixed because the issue includes both potential solutions and serious concerns. Overall, this draft captures the style of a news source: it is informational, policy focused, and centred on consequences for the wider community."
news_03,News,Australia expands first-home buyer support scheme,https://www.reuters.com/world/asia-pacific/australia-government-expand-scheme-help-first-time-property-buyers-election-2025-03-22/,"This news document discusses Australia expands first-home buyer support scheme. The main ideas connected with this article include first home buyers, housing affordability, government scheme, election, mortgage, cost of living. The text presents the topic as a public issue that affects citizens, institutions, businesses, and policy makers. It explains the background of the event and connects the immediate development to broader social and economic concerns. A news article of this type usually uses a factual tone, referring to official decisions, expert warnings, policy changes, financial pressure, and public consequences. The topic is important because it shows how government, technology, housing, energy, and economic systems interact in modern Australia. The article is useful for text mining because it contains vocabulary that is different from sports and film reviews. Terms such as policy, government, affordability, market, energy, inflation, planning, investment, and regulation are likely to appear frequently. These words help identify the document as part of the news genre when building a document term matrix. The document also contains themes of uncertainty and response, because readers are asked to consider what may happen next and how decision makers might address the problem. For the assignment, this document can contribute to clustering because it shares public affairs vocabulary with other news texts. It may also connect strongly in a document network with other articles about housing, prices, inflation, or energy demand. Its sentiment may be mixed because the issue includes both potential solutions and serious concerns. Overall, this draft captures the style of a news source: it is informational, policy focused, and centred on consequences for the wider community."
news_04,News,Australian house price rises expected to continue,https://www.reuters.com/markets/australian-house-price-rises-seen-extending-through-2026-2024-05-29/,"This news document discusses Australian house price rises expected to continue. The main ideas connected with this article include house prices, housing market, interest rates, affordability, property, forecast. The text presents the topic as a public issue that affects citizens, institutions, businesses, and policy makers. It explains the background of the event and connects the immediate development to broader social and economic concerns. A news article of this type usually uses a factual tone, referring to official decisions, expert warnings, policy changes, financial pressure, and public consequences. The topic is important because it shows how government, technology, housing, energy, and economic systems interact in modern Australia. The article is useful for text mining because it contains vocabulary that is different from sports and film reviews. Terms such as policy, government, affordability, market, energy, inflation, planning, investment, and regulation are likely to appear frequently. These words help identify the document as part of the news genre when building a document term matrix. The document also contains themes of uncertainty and response, because readers are asked to consider what may happen next and how decision makers might address the problem. For the assignment, this document can contribute to clustering because it shares public affairs vocabulary with other news texts. It may also connect strongly in a document network with other articles about housing, prices, inflation, or energy demand. Its sentiment may be mixed because the issue includes both potential solutions and serious concerns. Overall, this draft captures the style of a news source: it is informational, policy focused, and centred on consequences for the wider community."
news_05,News,Australian central bank and inflation pressures,https://www.investing.com/news/economy-news/australia-central-bank-hikes-rates-for-third-time-this-year-in-battle-with-inflation-4657790,"This news document discusses Australian central bank and inflation pressures. The main ideas connected with this article include central bank, inflation, interest rates, economy, households, monetary policy. The text presents the topic as a public issue that affects citizens, institutions, businesses, and policy makers. It explains the background of the event and connects the immediate development to broader social and economic concerns. A news article of this type usually uses a factual tone, referring to official decisions, expert warnings, policy changes, financial pressure, and public consequences. The topic is important because it shows how government, technology, housing, energy, and economic systems interact in modern Australia. The article is useful for text mining because it contains vocabulary that is different from sports and film reviews. Terms such as policy, government, affordability, market, energy, inflation, planning, investment, and regulation are likely to appear frequently. These words help identify the document as part of the news genre when building a document term matrix. The document also contains themes of uncertainty and response, because readers are asked to consider what may happen next and how decision makers might address the problem. For the assignment, this document can contribute to clustering because it shares public affairs vocabulary with other news texts. It may also connect strongly in a document network with other articles about housing, prices, inflation, or energy demand. Its sentiment may be mixed because the issue includes both potential solutions and serious concerns. Overall, this draft captures the style of a news source: it is informational, policy focused, and centred on consequences for the wider community."
news_06,News,"Oil shock, inflation and slower economic growth",https://www.investing.com/news/economy-news/australia-central-bank-warns-of-rising-inflation-slower-growth-as-oil-shock-bites-4657781,"This news document discusses Oil shock, inflation and slower economic growth. The main ideas connected with this article include oil shock, inflation, economic growth, energy prices, policy, uncertainty. The text presents the topic as a public issue that affects citizens, institutions, businesses, and policy makers. It explains the background of the event and connects the immediate development to broader social and economic concerns. A news article of this type usually uses a factual tone, referring to official decisions, expert warnings, policy changes, financial pressure, and public consequences. The topic is important because it shows how government, technology, housing, energy, and economic systems interact in modern Australia. The article is useful for text mining because it contains vocabulary that is different from sports and film reviews. Terms such as policy, government, affordability, market, energy, inflation, planning, investment, and regulation are likely to appear frequently. These words help identify the document as part of the news genre when building a document term matrix. The document also contains themes of uncertainty and response, because readers are asked to consider what may happen next and how decision makers might address the problem. For the assignment, this document can contribute to clustering because it shares public affairs vocabulary with other news texts. It may also connect strongly in a document network with other articles about housing, prices, inflation, or energy demand. Its sentiment may be mixed because the issue includes both potential solutions and serious concerns. Overall, this draft captures the style of a news source: it is informational, policy focused, and centred on consequences for the wider community."
news_07,News,Exploring drivers of extreme housing prices in Australia,https://arxiv.org/abs/2604.18605,"This news document discusses Exploring drivers of extreme housing prices in Australia. The main ideas connected with this article include housing prices, research, Australia, urban economics, property market, modelling. The text presents the topic as a public issue that affects citizens, institutions, businesses, and policy makers. It explains the background of the event and connects the immediate development to broader social and economic concerns. A news article of this type usually uses a factual tone, referring to official decisions, expert warnings, policy changes, financial pressure, and public consequences. The topic is important because it shows how government, technology, housing, energy, and economic systems interact in modern Australia. The article is useful for text mining because it contains vocabulary that is different from sports and film reviews. Terms such as policy, government, affordability, market, energy, inflation, planning, investment, and regulation are likely to appear frequently. These words help identify the document as part of the news genre when building a document term matrix. The document also contains themes of uncertainty and response, because readers are asked to consider what may happen next and how decision makers might address the problem. For the assignment, this document can contribute to clustering because it shares public affairs vocabulary with other news texts. It may also connect strongly in a document network with other articles about housing, prices, inflation, or energy demand. Its sentiment may be mixed because the issue includes both potential solutions and serious concerns. Overall, this draft captures the style of a news source: it is informational, policy focused, and centred on consequences for the wider community."
sports_01,Sports,Caloundra win round three football match,https://en.wikinews.org/wiki/Caloundra_win_round_3_game_in_Australian_soccer%27s_Football_Queensland_Premier_League_2_competition,"This sports document discusses Caloundra win round three football match. The main ideas connected with this article include football, Caloundra, match, league, round, team. The text presents the topic through the language of competition, performance, result, pressure, and achievement. Sports writing often focuses on what happened during a match or tournament, why the result mattered, and how players or teams responded to important moments. The article is likely to include references to scores, rounds, finals, wins, losses, teams, players, form, and momentum. This gives the document a clear vocabulary pattern that is different from news reports and film reviews. The document is useful for natural language processing because it contains recurring sports terms that can help identify relationships between documents. Words such as match, team, player, tournament, final, performance, victory, defeat, competition, and season may appear across several sports texts. These shared terms should make sports documents cluster together in the dendrogram and connect strongly in the document network. At the same time, individual sports such as football, tennis, and cricket may create smaller subgroups because they have their own specialised vocabulary. For sentiment analysis, this document may contain positive words linked to winning, success, confidence, and achievement, but it may also include negative language around pressure, mistakes, defeat, or disappointment. In the final report, this source can be used to discuss how sports language combines factual reporting with emotional interpretation. Overall, this draft represents the sports genre because it is centred on competition, athletic performance, outcomes, and the significance of results within a sporting context."
sports_02,Sports,Melbourne Victory win A-League grand final,https://en.wikinews.org/wiki/Australian_football%3A_Melbourne_Victory_win_A-League_grand_final,"This sports document discusses Melbourne Victory win A-League grand final. The main ideas connected with this article include football, Melbourne Victory, A-League, grand final, championship, supporters. The text presents the topic through the language of competition, performance, result, pressure, and achievement. Sports writing often focuses on what happened during a match or tournament, why the result mattered, and how players or teams responded to important moments. The article is likely to include references to scores, rounds, finals, wins, losses, teams, players, form, and momentum. This gives the document a clear vocabulary pattern that is different from news reports and film reviews. The document is useful for natural language processing because it contains recurring sports terms that can help identify relationships between documents. Words such as match, team, player, tournament, final, performance, victory, defeat, competition, and season may appear across several sports texts. These shared terms should make sports documents cluster together in the dendrogram and connect strongly in the document network. At the same time, individual sports such as football, tennis, and cricket may create smaller subgroups because they have their own specialised vocabulary. For sentiment analysis, this document may contain positive words linked to winning, success, confidence, and achievement, but it may also include negative language around pressure, mistakes, defeat, or disappointment. In the final report, this source can be used to discuss how sports language combines factual reporting with emotional interpretation. Overall, this draft represents the sports genre because it is centred on competition, athletic performance, outcomes, and the significance of results within a sporting context."
sports_03,Sports,Roger Federer wins Australian Open,https://en.wikinews.org/wiki/Roger_Federer_wins_Australian_Open,"This sports document discusses Roger Federer wins Australian Open. The main ideas connected with this article include tennis, Roger Federer, Australian Open, final, Grand Slam, champion. The text presents the topic through the language of competition, performance, result, pressure, and achievement. Sports writing often focuses on what happened during a match or tournament, why the result mattered, and how players or teams responded to important moments. The article is likely to include references to scores, rounds, finals, wins, losses, teams, players, form, and momentum. This gives the document a clear vocabulary pattern that is different from news reports and film reviews. The document is useful for natural language processing because it contains recurring sports terms that can help identify relationships between documents. Words such as match, team, player, tournament, final, performance, victory, defeat, competition, and season may appear across several sports texts. These shared terms should make sports documents cluster together in the dendrogram and connect strongly in the document network. At the same time, individual sports such as football, tennis, and cricket may create smaller subgroups because they have their own specialised vocabulary. For sentiment analysis, this document may contain positive words linked to winning, success, confidence, and achievement, but it may also include negative language around pressure, mistakes, defeat, or disappointment. In the final report, this source can be used to discuss how sports language combines factual reporting with emotional interpretation. Overall, this draft represents the sports genre because it is centred on competition, athletic performance, outcomes, and the significance of results within a sporting context."
