"doc_id","genre","sentiment"
"news_01","News",2.3
"news_02","News",2.3
"news_03","News",2.2
"news_04","News",2.7
"news_05","News",2.45
"news_06","News",1.3
"news_07","News",2.15
"sports_01","Sports",8.15
"sports_02","Sports",9.2
"sports_03","Sports",7.65
"sports_04","Sports",7.4
"sports_05","Sports",7.4
"sports_06","Sports",8.5
"sports_07","Sports",6.9
"film_01","Film Review",5.3
"film_02","Film Review",5.3
"film_03","Film Review",5.8
"film_04","Film Review",5.6
"film_05","Film Review",3.7
"film_06","Film Review",5.8
